Topic,PID,Document Title,Abstract,label
CD010438,4461416,Correction of the haemostatic defect in haemophiliacs without apparent correction of the coagulation defect.,"The evaluation of microhaematuria may be considered as a measure of the haemostatic defect of haemophiliacs in nonhaemorrhagic periods. In order to study the relationship between coagulation disorder and haemostatic defect we have administered small amounts (1 U and 3 U/kg) of AHG and of factor IX (1U/kg) to 12 haemophiliacs (20 A and 2 B) and we have examined the effects on coagulation and microhaematuria. Microhaematuria was determined by the measurement of urinary radioactivity/24 h, after infusion of autologous RBC labelled with 51-Cr, for 11 consecutive days (4 days before and 7 after the administration). Coagulation was investigated by thromboelastography, PTT, Quick's time, PCI, factor VIII and IX activity assays, fibrinogen assay, and euglobulin lysis time. During the period of investigation, the patients remained in bed. In controls, factor VIII administration did not affect microhaematuria. On the other hand, in all haemophiliacs, factor VIII and IX administration significantly reduced microhaematuria, although the administered dose was not able to modify the coagulation defect. In all subjects the reduction of microhaematuria lasted at least 5 days. The correction of the haemostatic defect, without improvement of the clotting disorder, and its persistence for several days suggest that factor VIII is involved in the composition of the vascular wall and in its functional integrity. Moreover, on the basis of these results it is possible to carry out a rational prophylaxis of the haemorrhagic episodes using small doses of factor VIII, be determining the duration of the correction of the haemostatic defect for each subject.",yes
CD010438,19762299,Evaluation of the platelet function analyzer (PFA-100) vs. the thromboelastogram (TEG) in the clinical setting.,Comment on   Acta Anaesthesiol Taiwan. 2009 Sep;47(3):110-7.,yes
CD010438,16607076,The effect of N-acetylcysteine on blood coagulation and platelet function in patients undergoing open repair of abdominal aortic aneurysm.,"Author information: (1)Department of Anaesthesiology and Intensive Care Medicine, Helsinki University Central Hospital, Finland. tomi.niemi@hus.fi",yes
CD010438,20042049,Reference values of clinical chemistry and hematology parameters in rhesus monkeys (Macaca mulatta).,"Author information: (1)West China Hospital, Sichuan University, Chengdu, China.",yes
CD010438,7223223,[State of the clotting and anticoagulant systems of the blood in children with cerebrovascular insufficiency of congenital etiology].,Meer MI.,yes
CD010438,21330915,"The influence of platelets, plasma and red blood cells on functional haemostatic assays.","Author information: (1)Section for Transfusion Medicine, Capital Region Blood Bank, Rigshospitalet, University of Copenhagen, Copenhagen, Denmark. louise.bochsen@rh.regionh.dk",yes
CD010438,4576350,[Blood hypercoagulability (attempted classification of pre-thrombotic states)].,Tymiñski W.,yes
CD010438,20813396,Acute cigarette smoke exposure reduces clot lysis--association between altered fibrin architecture and the response to t-PA.,"Author information: (1)Division of Cardiovascular Medicine, University of California San Francisco, Fresno, CA 93721, USA.",yes
CD010438,12675727,Activation of the complement system by different autologous transfusion devices: an in vitro study.,"Author information: (1)Department of Anesthesiology and Intensive Care, Sahlgrenska University Hospital/Ostra, Göteburg, Sweden. tylman@mailer.mednet.gu.se",yes
CD010438,22782135,The ex vivo reversibility of dabigatran-induced whole-blood coagulopathy as monitored by thromboelastography: mechanistic implications for clinical medicine.,DOI: 10.1160/TH12-04-0222 ,yes
